,Datum,Temp_Very Cold,Temp_Cold,Temp_Mild,Temp_Warm,Temp_Hot,Cloud_Clear,Cloud_Partly Cloudy,Cloud_Cloudy,Wind_Light,Wind_Moderate,Wind_Strong,Weather_Good,Weather_Light Issues,Weather_Moderate,Weather_Severe,Weather_Unknown
26,2012-01-27,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
27,2012-01-28,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
28,2012-01-29,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
29,2012-01-30,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
30,2012-01-31,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
31,2012-02-01,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
32,2012-02-02,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
33,2012-02-03,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
34,2012-02-04,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
35,2012-02-05,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
36,2012-02-06,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
37,2012-02-07,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
38,2012-02-08,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
39,2012-02-09,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
40,2012-02-10,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
41,2012-02-11,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
42,2012-02-12,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
43,2012-02-13,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
44,2012-02-14,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
45,2012-02-15,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
46,2012-02-16,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
47,2012-02-17,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
48,2012-02-18,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
49,2012-02-19,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
50,2012-02-20,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
51,2012-02-21,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
52,2012-02-22,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
53,2012-02-23,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
54,2012-02-24,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
55,2012-02-25,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
56,2012-02-26,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
57,2012-02-27,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
58,2012-02-28,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
59,2012-02-29,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
60,2012-03-01,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
61,2012-03-02,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
62,2012-03-03,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
63,2012-03-04,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
64,2012-03-05,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
65,2012-03-06,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
66,2012-03-07,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
67,2012-03-08,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
68,2012-03-09,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
69,2012-03-10,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
70,2012-03-11,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
71,2012-03-12,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
72,2012-03-13,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
73,2012-03-14,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
74,2012-03-15,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
75,2012-03-16,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
76,2012-03-17,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
77,2012-03-18,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
78,2012-03-19,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
79,2012-03-20,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
80,2012-03-21,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
81,2012-03-22,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
82,2012-03-23,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
83,2012-03-24,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
84,2012-03-25,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
85,2012-03-26,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
86,2012-03-27,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
87,2012-03-28,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
88,2012-03-29,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
89,2012-03-30,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
90,2012-03-31,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
91,2012-04-01,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
92,2012-04-02,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
93,2012-04-03,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
94,2012-04-04,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
95,2012-04-05,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
96,2012-04-06,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
97,2012-04-07,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
98,2012-04-08,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
99,2012-04-09,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
100,2012-04-10,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
101,2012-04-11,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
102,2012-04-12,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
103,2012-04-13,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
104,2012-04-14,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
105,2012-04-15,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
106,2012-04-16,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
107,2012-04-17,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
108,2012-04-18,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
109,2012-04-19,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
110,2012-04-20,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
111,2012-04-21,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
112,2012-04-22,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
113,2012-04-23,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
114,2012-04-24,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
115,2012-04-25,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
116,2012-04-26,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
117,2012-04-27,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
118,2012-04-28,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
119,2012-04-29,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
120,2012-04-30,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
121,2012-05-01,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
122,2012-05-02,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
123,2012-05-03,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
124,2012-05-04,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
125,2012-05-05,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
126,2012-05-06,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
127,2012-05-07,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
128,2012-05-08,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
129,2012-05-09,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
130,2012-05-10,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
131,2012-05-11,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
132,2012-05-12,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
133,2012-05-13,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
134,2012-05-14,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
135,2012-05-15,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
136,2012-05-16,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
137,2012-05-17,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
138,2012-05-18,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
139,2012-05-19,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
140,2012-05-20,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
141,2012-05-21,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
142,2012-05-22,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
143,2012-05-23,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
144,2012-05-24,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
145,2012-05-25,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
146,2012-05-26,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
147,2012-05-27,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
148,2012-05-28,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
149,2012-05-29,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
150,2012-05-30,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
151,2012-05-31,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
152,2012-06-01,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
153,2012-06-02,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
154,2012-06-03,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
155,2012-06-04,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
156,2012-06-05,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
157,2012-06-06,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
158,2012-06-07,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
159,2012-06-08,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
160,2012-06-09,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
161,2012-06-10,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
162,2012-06-11,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
163,2012-06-12,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
164,2012-06-13,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
165,2012-06-14,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
166,2012-06-15,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
167,2012-06-16,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
168,2012-06-17,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
169,2012-06-18,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
170,2012-06-19,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
171,2012-06-20,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
172,2012-06-21,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
173,2012-06-22,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
174,2012-06-23,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
175,2012-06-24,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
176,2012-06-25,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
177,2012-06-26,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
178,2012-06-27,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
179,2012-06-28,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
180,2012-06-29,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
181,2012-06-30,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
182,2012-07-01,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
183,2012-07-02,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
184,2012-07-03,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
185,2012-07-04,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
186,2012-07-05,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
187,2012-07-06,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
188,2012-07-07,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
189,2012-07-08,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
190,2012-07-09,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
191,2012-07-10,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
192,2012-07-11,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
193,2012-07-12,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
194,2012-07-13,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
195,2012-07-14,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
196,2012-07-15,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
197,2012-07-16,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
198,2012-07-17,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
199,2012-07-18,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
200,2012-07-19,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
201,2012-07-20,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
202,2012-07-21,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
203,2012-07-22,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
204,2012-07-23,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
205,2012-07-25,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
206,2012-07-26,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
207,2012-07-27,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
208,2012-07-28,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
209,2012-07-29,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
210,2012-07-30,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
211,2012-07-31,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
212,2012-08-01,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
213,2012-08-02,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
214,2012-08-03,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
215,2012-08-04,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
216,2012-08-05,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
217,2012-08-06,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
218,2012-08-07,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
219,2012-08-08,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
220,2012-08-09,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
221,2012-08-10,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
222,2012-08-11,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
223,2012-08-12,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
224,2012-08-13,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
225,2012-08-14,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
226,2012-08-15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
227,2012-08-16,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
228,2012-08-17,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
229,2012-08-18,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
230,2012-08-19,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
231,2012-08-20,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
232,2012-08-21,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
233,2012-08-22,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
234,2012-08-23,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
235,2012-08-24,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
236,2012-08-25,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
237,2012-08-26,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
238,2012-08-27,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
239,2012-08-28,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
240,2012-08-29,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
241,2012-08-30,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
242,2012-08-31,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
243,2012-09-01,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
244,2012-09-02,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
245,2012-09-03,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
246,2012-09-04,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
247,2012-09-05,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
248,2012-09-06,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
249,2012-09-07,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
250,2012-09-08,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
251,2012-09-09,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
252,2012-09-10,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
253,2012-09-11,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
254,2012-09-12,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
255,2012-09-13,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
256,2012-09-14,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
257,2012-09-15,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
258,2012-09-16,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
259,2012-09-17,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
260,2012-09-18,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
261,2012-09-19,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
262,2012-09-20,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
263,2012-09-21,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
264,2012-09-22,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
265,2012-09-23,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
266,2012-09-24,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
267,2012-09-25,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
268,2012-09-26,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
269,2012-09-27,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
270,2012-09-28,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
271,2012-09-29,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
272,2012-09-30,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
273,2012-10-01,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
274,2012-10-02,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
275,2012-10-03,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
276,2012-10-04,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
277,2012-10-05,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
278,2012-10-08,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
279,2012-10-09,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
280,2012-10-10,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
281,2012-10-11,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
282,2012-10-12,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
283,2012-10-15,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
284,2012-10-16,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
285,2012-10-17,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
286,2012-10-18,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
287,2012-10-19,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
288,2012-10-22,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
289,2012-10-23,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
290,2012-10-24,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
291,2012-10-25,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
292,2012-10-26,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
293,2012-10-29,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
294,2012-10-30,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
295,2012-10-31,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
296,2012-11-01,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
297,2012-11-02,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
298,2012-11-05,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
299,2012-11-06,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
300,2012-11-07,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
301,2012-11-08,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
302,2012-11-09,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
303,2012-11-12,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
304,2012-11-13,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
305,2012-11-14,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
306,2012-11-15,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
307,2012-11-16,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
308,2012-11-19,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
309,2012-11-20,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
310,2012-11-21,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
311,2012-11-22,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
312,2012-11-23,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
313,2012-11-26,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
314,2012-11-27,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
315,2012-11-28,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
316,2012-11-29,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
317,2012-11-30,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
318,2012-12-03,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
319,2012-12-04,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
320,2012-12-05,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
321,2012-12-06,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
322,2012-12-07,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
323,2012-12-10,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
324,2012-12-11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
325,2012-12-12,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
326,2012-12-13,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
327,2012-12-14,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
328,2012-12-17,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
329,2012-12-18,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
330,2012-12-19,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
331,2012-12-20,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
332,2012-12-21,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
333,2013-04-30,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
