Datum,Umsatz,Warengruppe_1,Warengruppe_2,Warengruppe_3,Warengruppe_4,Warengruppe_5,Warengruppe_6,Temp_Very_Cold,Temp_Cold,Temp_Mild,Temp_Warm,Temp_Hot,Cloud_Clear,Cloud_Partly_Cloudy,Cloud_Cloudy,Wind_Light,Wind_Moderate,Wind_Strong,Weather_Good,Weather_Light_Issues,Weather_Moderate,Weather_Severe,KielerWoche,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag,VPI,Number_of_ships,Ship,Heimspiel,Feiertag,is_holiday,Weihnachtsmarkt,Markt,Ostertag,Silvester,wetter_sehr_schön,wetter_sehr_schlecht
2017-08-14,161.757769956575,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.695,0.0,0,0,0,1,0,0,0,0,0,0
2017-08-15,111.761335307047,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.695,0.0,0,0,0,1,0,0,0,0,0,1
2017-08-16,126.034311313186,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.695,2.0,1,0,0,1,0,0,0,0,0,0
2017-08-17,174.467285452882,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.695,1.0,1,0,0,1,0,0,0,0,0,0
2017-08-18,121.506482436341,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.695,0.0,0,0,0,1,0,0,0,0,0,0
2017-08-19,160.328375151501,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.695,2.0,1,0,0,1,0,0,0,0,0,1
2017-08-20,88.8323053510043,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.695,1.0,1,1,0,1,0,0,0,0,0,0
2017-08-21,156.498349566742,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.695,1.0,1,0,0,1,0,0,0,0,0,0
2017-08-22,137.482146234831,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.695,0.0,0,0,0,1,0,0,0,0,0,0
2017-08-23,146.200693986919,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.695,1.0,1,0,0,1,0,0,0,0,0,0
2017-08-24,161.178424672584,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.695,1.0,1,0,0,1,0,0,0,0,0,0
2017-08-25,121.67851633637,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.695,0.0,0,0,0,1,0,0,0,0,0,0
2017-08-26,175.29635154451,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.695,2.0,1,0,0,1,0,0,0,0,0,0
2017-08-27,60.3904195840305,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.695,0.0,0,0,0,1,0,0,0,0,0,0
2017-08-28,109.862269383009,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.695,1.0,1,0,0,1,0,0,0,0,0,0
2017-08-29,140.114833354281,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.695,1.0,1,0,0,1,0,0,0,0,1,0
2017-08-30,117.705814678758,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.695,0.0,0,0,0,1,0,0,0,0,0,0
2017-08-31,110.484249613829,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.695,0.0,0,0,0,1,0,0,0,0,0,0
2017-09-01,134.901921529808,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.712,0.0,0,0,0,1,0,0,0,0,0,0
2017-09-02,148.15323696572,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.712,0.0,0,0,0,1,0,0,0,0,0,0
2017-09-03,55.222134167446,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.712,0.0,0,0,0,0,0,0,0,0,0,0
2017-09-04,122.215195768898,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.712,1.0,1,0,0,0,0,0,0,0,0,0
2017-09-05,128.680505002769,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.712,0.0,0,0,0,0,0,0,0,0,0,0
2017-09-06,86.9985590667094,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.712,0.0,0,0,0,0,0,0,0,0,0,1
2017-09-07,144.563178397192,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.712,0.0,0,0,0,0,0,0,0,0,0,0
2017-09-08,129.928072228573,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.712,0.0,0,0,0,0,0,0,0,0,0,1
2017-09-09,113.451966800961,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.712,2.0,1,1,0,0,0,0,0,0,0,1
2017-09-10,83.9548556625671,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.712,1.0,1,0,0,0,0,0,0,0,0,0
2017-09-11,148.173580794396,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.712,0.0,0,0,0,0,0,0,0,0,0,0
2017-09-12,80.7563950180735,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.712,0.0,0,0,0,0,0,0,0,0,0,0
2017-09-13,103.419606846606,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.712,2.0,1,0,0,0,0,0,0,0,0,1
2017-09-14,124.528915578366,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.712,1.0,1,0,0,0,0,0,0,0,0,0
2017-09-15,177.095117317774,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.712,0.0,0,0,0,0,0,0,0,0,0,0
2017-09-16,237.243301445744,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.712,2.0,1,0,0,0,0,0,0,0,0,0
2017-09-17,82.0164448112146,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.712,0.0,0,0,0,0,0,0,0,0,0,1
2017-09-18,135.443041598007,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.712,0.0,0,0,0,0,0,0,0,0,0,0
2017-09-19,127.007001847412,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.712,0.0,0,1,0,0,0,0,0,0,0,0
2017-09-20,99.1792684718788,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.712,1.0,1,0,0,0,0,0,0,0,0,0
2017-09-21,134.427589001166,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.712,0.0,0,0,0,0,0,0,0,0,0,0
2017-09-22,175.906900532966,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.712,0.0,0,0,0,0,0,0,0,0,0,0
2017-09-23,179.921676845873,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.712,1.0,1,0,0,0,0,0,0,0,0,0
2017-09-24,101.793277925589,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.712,1.0,1,0,0,0,0,0,0,0,0,0
2017-09-25,129.709113092244,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.712,0.0,0,0,0,0,0,0,0,0,0,0
2017-09-26,151.541843015799,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.712,0.0,0,0,0,0,0,0,0,0,0,0
2017-09-27,116.379484184452,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.712,1.0,1,0,0,0,0,0,0,0,0,0
2017-09-28,146.167521804,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.712,0.0,0,0,0,0,0,0,0,0,0,0
2017-09-29,112.98521998769,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.712,0.0,0,0,0,0,0,0,0,0,0,0
2017-09-30,161.771261258553,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.712,1.0,1,1,0,0,0,0,0,0,0,0
2017-10-01,60.9824772636814,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.678,0.0,0,0,0,0,0,0,0,0,0,0
2017-10-02,179.554452580413,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.678,0.0,0,0,0,0,0,0,0,0,0,1
2017-10-03,66.3554760876056,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.678,0.0,0,0,1,0,0,0,0,0,0,0
2017-10-04,125.991807553769,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.678,0.0,0,0,0,0,0,0,0,0,0,1
2017-10-05,146.081884421956,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.678,0.0,0,0,0,0,0,0,0,0,0,1
2017-10-06,143.098736564958,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.678,2.0,1,0,0,0,0,0,0,0,0,0
2017-10-07,167.83160335014,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.678,1.0,1,0,0,0,0,0,0,0,0,1
2017-10-08,86.952830438685,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.678,0.0,0,0,0,0,0,0,0,0,0,0
2017-10-09,191.429657344589,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.678,0.0,0,0,0,0,0,0,0,0,0,0
2017-10-10,121.017707851263,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.678,0.0,0,0,0,0,0,0,0,0,0,0
2017-10-11,114.734152340098,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.678,0.0,0,0,0,0,0,0,0,0,0,0
2017-10-12,107.921714219622,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.678,0.0,0,0,0,0,0,1,0,0,0,0
2017-10-13,118.292462064717,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.678,0.0,0,0,0,0,0,1,0,0,0,0
2017-10-14,108.712927737647,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.678,1.0,1,0,0,0,0,1,0,0,0,0
2017-10-15,67.7430137509284,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.678,0.0,0,0,0,0,0,1,0,0,0,0
2017-10-16,108.129612539979,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.678,0.0,0,0,0,1,0,1,0,0,0,0
2017-10-17,77.2429740379052,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.678,0.0,0,0,0,1,0,0,0,0,0,0
2017-10-18,107.716445777842,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.678,0.0,0,0,0,1,0,0,0,0,0,0
2017-10-19,102.017092600254,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.678,0.0,0,0,0,1,0,0,0,0,0,0
2017-10-20,117.637336559248,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.678,0.0,0,0,0,1,0,0,0,0,0,0
2017-10-21,113.579118312875,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.678,1.0,1,1,0,1,0,0,0,0,0,0
2017-10-22,102.271847780682,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.678,0.0,0,0,0,1,0,0,0,0,0,0
2017-10-24,101.985508618079,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.678,0.0,0,0,0,1,0,0,0,0,0,0
2017-10-25,112.868099610742,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.678,0.0,0,0,0,1,0,0,0,0,0,0
2017-10-26,121.902300059386,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.678,0.0,0,0,0,1,0,0,0,0,0,0
2017-10-27,176.844444234551,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.678,0.0,0,0,0,1,0,0,0,0,0,0
2017-10-28,111.918783184116,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.678,0.0,0,0,0,0,0,0,0,0,0,1
2017-10-29,66.1429955598758,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.678,0.0,0,0,0,0,0,0,0,0,0,1
2017-10-30,203.761620898018,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.678,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-01,159.909558679611,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-02,121.440397431826,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-03,117.326070326731,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-04,133.795153821829,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-05,79.0166720053485,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.61,1.0,1,1,0,0,0,0,0,0,0,0
2017-11-06,111.224695011903,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.61,1.0,1,0,0,0,0,0,0,0,0,0
2017-11-07,83.177904930265,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.61,1.0,1,0,0,0,0,0,0,0,0,0
2017-11-08,79.2557790596025,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.61,2.0,1,0,0,0,0,0,0,0,0,0
2017-11-09,120.473812071173,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-10,114.106926212154,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.61,0.0,0,0,0,0,0,0,0,0,0,1
2017-11-11,119.214846609495,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-12,81.7069031241421,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-13,146.465618425215,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-14,91.0963595190131,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-15,107.455887247399,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-16,125.49889208889,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-17,141.616201864242,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-18,89.6760956045913,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.61,0.0,0,0,0,0,0,0,0,0,0,1
2017-11-19,121.373340644802,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-20,100.7324918034,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-21,90.5174834878254,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.61,0.0,0,0,0,0,0,0,0,0,0,1
2017-11-22,84.7248904082783,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-23,86.6235738346552,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-24,102.704961608739,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-25,100.894643188864,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.61,0.0,0,1,0,0,0,0,0,0,0,0
2017-11-26,56.1839609734841,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.61,0.0,0,0,0,0,0,0,0,0,0,0
2017-11-27,108.488785532168,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.61,0.0,0,0,0,0,1,0,0,0,0,1
2017-11-28,82.6450051477415,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.61,0.0,0,0,0,0,1,0,0,0,0,1
2017-11-29,70.8933590937057,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.61,0.0,0,0,0,0,1,0,0,0,0,1
2017-11-30,151.851067390839,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.61,0.0,0,0,0,0,1,0,0,0,0,0
2017-12-01,81.7634785538538,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.695,0.0,0,0,0,0,1,0,0,0,0,0
2017-12-02,127.082516714906,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.695,0.0,0,1,0,0,1,0,0,0,0,0
2017-12-03,77.1376298618811,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.695,0.0,0,0,0,0,1,0,0,0,0,0
2017-12-04,132.405506118959,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.695,0.0,0,0,0,0,1,0,0,0,0,0
2017-12-05,98.6865740402869,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.695,1.0,1,0,0,0,1,0,0,0,0,0
2017-12-06,87.2168769966415,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.695,0.0,0,0,0,0,1,0,0,0,0,0
2017-12-07,121.022930614205,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.695,1.0,1,0,0,0,1,0,0,0,0,1
2017-12-08,90.723222063322,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.695,4.0,1,0,0,0,1,0,0,0,0,1
2017-12-09,109.566700891337,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.695,0.0,0,0,0,0,1,0,0,0,0,0
2017-12-10,46.1034350972905,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.695,0.0,0,0,0,0,1,0,0,0,0,0
2017-12-11,64.1114917289524,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.695,0.0,0,0,0,0,1,0,0,0,0,1
2017-12-12,104.188888422736,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.695,0.0,0,0,0,0,1,0,0,0,0,0
2017-12-13,71.0846835326617,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.695,0.0,0,0,0,0,1,0,0,0,0,1
